feature_name,feature_group,definition,interpretation,feature_role,role_reason,recommended_transform,recommended_patient_aggregation,patient_day_count_total,patient_day_observed_count,patient_day_missingness_percent,patient_count_total,patient_observed_count,patient_level_missingness_percent,mean,sd,median,q1,q3,iqr,minimum,maximum,strongest_technical_variable,strongest_abs_spearman_correlation,technical_review_status,pilot_selection_allowed
accelerometer_magnitude_sd,signal_level,Standard deviation of vector magnitude over valid samples.,"Overall signal variability, affected by orientation and collection context.",sensitivity_only,"Review as a sensitivity feature because gravity, phone orientation, and phone placement can affect the signal.",Inspect skew and outliers; fit robust scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,1.1009382443274425,1.6061807207469057,0.5069676274374719,0.49314971121488005,0.6070843276509332,0.11393461643605318,0.2663608557350972,4.732771149387902,accelerometer_observed_span_hours,0.9285714285714288,review,no
accelerometer_magnitude_p95,signal_level,95th percentile of vector magnitude.,"Upper signal level, including gravity and phone-state effects.",sensitivity_only,"Review as a sensitivity feature because gravity, phone orientation, and phone placement can affect the signal.",Inspect skew and outliers; fit robust scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,10.074379564127707,0.15990700876441385,10.034501327016743,9.997560092433844,10.19586045036369,0.19830035792984546,9.820469258358864,10.278845277923274,accelerometer_raw_row_count,0.4642857142857144,not_flagged,no
accelerometer_dynamic_magnitude_rms,dynamic_motion,Root-mean-square absolute deviation of magnitude from the day median magnitude.,Orientation-tolerant motion proxy; not a validated activity classifier.,primary_behavior_candidate,Candidate behavioral feature after coverage and technical-confounding review; this is not a final selection.,Inspect skew and outliers; fit robust scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,1.2448594964191473,1.9789012462656534,0.507679595548967,0.4987239849780948,0.6074204189543047,0.10869643397620987,0.2699680271648383,5.724080044355426,accelerometer_observed_span_hours,0.9285714285714288,review,no
accelerometer_dynamic_magnitude_p95,dynamic_motion,95th percentile absolute deviation of magnitude from the day median magnitude.,Upper dynamic-motion proxy.,primary_behavior_candidate,Candidate behavioral feature after coverage and technical-confounding review; this is not a final selection.,Inspect skew and outliers; fit robust scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,1.6925300958893355,2.876761226259039,0.6495707339221628,0.4759216068530447,0.865258906825242,0.3893372999721973,0.3165803061111027,8.199198603835509,accelerometer_observed_span_hours,0.5357142857142858,not_flagged,no
accelerometer_low_motion_fraction,dynamic_motion,Fraction of valid samples with dynamic magnitude at or below 0.10.,Low-variation phone-signal fraction; can reflect phone placement or no use.,primary_behavior_candidate,Candidate behavioral feature after coverage and technical-confounding review; this is not a final selection.,Inspect bounds and skew; fit scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,0.6566480355606493,0.31464698070804265,0.7799602549722724,0.6274681769188617,0.8336809311683858,0.20621275424952412,0.0045,0.8897777777777778,accelerometer_raw_row_count,0.21428571428571433,not_flagged,no
accelerometer_high_motion_fraction,dynamic_motion,Fraction of valid samples with dynamic magnitude at or above 0.75.,High-variation phone-signal fraction; exploratory only.,primary_behavior_candidate,Candidate behavioral feature after coverage and technical-confounding review; this is not a final selection.,Inspect bounds and skew; fit scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,0.18367296350076082,0.3466491801448249,0.0443885373984122,0.03549946781712595,0.09440558003546701,0.05890611221834106,0.0165121114017278,0.965,accelerometer_observed_span_hours,0.5357142857142858,not_flagged,no
accelerometer_motion_bout_count,temporal_pattern,Runs of consecutive observed minutes whose median dynamic magnitude is at least 0.20.,Number of separated active-looking periods; requires adequate minute coverage.,primary_behavior_candidate,Candidate behavioral feature after coverage and technical-confounding review; this is not a final selection.,Consider per-observed-hour normalization; fit robust scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,0.2857142857142857,0.4879500364742666,0.0,0.0,0.5,0.5,0.0,1.0,accelerometer_valid_signal_minutes,0.3162277660168379,not_flagged,no
accelerometer_longest_observed_quiet_interval_minutes,temporal_pattern,Longest run of consecutive observed minutes below the 0.20 motion threshold.,Quiet interval among observed minutes; unobserved time is not labeled quiet.,primary_behavior_candidate,Candidate behavioral feature after coverage and technical-confounding review; this is not a final selection.,Consider per-observed-hour normalization; fit robust scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,8.571428571428571,8.121107126025427,4.0,3.0,12.0,9.0,2.0,24.0,accelerometer_raw_row_count,0.7387687194103584,review,no
accelerometer_daytime_motion_minutes,circadian,Observed minutes with median dynamic magnitude at least 0.20 from 06:00 through 21:59 local time.,Daytime motion proxy.,primary_behavior_candidate,Candidate behavioral feature after coverage and technical-confounding review; this is not a final selection.,Consider per-observed-hour normalization; fit robust scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,18.428571428571427,15.153186055052833,16.0,7.0,26.5,19.5,2.0,44.0,accelerometer_raw_row_count,0.7500000000000002,review,no
accelerometer_nighttime_motion_minutes,circadian,Observed minutes with median dynamic magnitude at least 0.20 from 22:00 through 05:59 local time.,Nighttime motion proxy.,primary_behavior_candidate,Candidate behavioral feature after coverage and technical-confounding review; this is not a final selection.,Consider per-observed-hour normalization; fit robust scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,0.7142857142857143,1.8898223650461363,0.0,0.0,0.0,0.0,0.0,5.0,accelerometer_raw_row_count,0.6123724356957946,not_flagged,no
accelerometer_day_night_motion_ratio,circadian,Daytime motion minutes divided by nighttime motion minutes.,Undefined when no nighttime motion minutes are observed.,primary_behavior_candidate,Candidate behavioral feature after coverage and technical-confounding review; this is not a final selection.,Inspect bounds and skew; fit scaling inside each training fold.,median across completed patient-local days,7,1,85.71428571428572,59,1,98.30508474576271,8.8,,8.8,8.8,8.8,0.0,8.8,8.8,,,insufficient_pilot_n,no
accelerometer_hourly_motion_entropy,circadian,Shannon entropy of active-looking observed minutes across local clock hours.,Distribution of motion across the day; not a sleep measure.,primary_behavior_candidate,Candidate behavioral feature after coverage and technical-confounding review; this is not a final selection.,Inspect bounds and skew; fit scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,1.1989564858204613,0.8692026598136715,1.4447470033120826,0.6203352658383442,1.8200107329266297,1.1996754670882854,0.0,2.0672563999011975,accelerometer_valid_signal_minutes,0.9189562119494703,review,no
accelerometer_magnitude_jerk_median,rapid_change,Median absolute magnitude change per second for positive intervals no longer than five seconds.,Signal-change-rate proxy; not clinical tremor or motor speed.,primary_behavior_candidate,Candidate behavioral feature after coverage and technical-confounding review; this is not a final selection.,Inspect skew and outliers; fit robust scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,1.356282840817199,2.3994475377418434,0.375872208327642,0.219327432667284,0.9859753904092978,0.7666479577420138,0.030046401448535,6.6774556297910515,accelerometer_observed_span_hours,0.28571428571428575,not_flagged,no
accelerometer_magnitude_jerk_p95,rapid_change,95th percentile absolute magnitude change per second for positive intervals no longer than five seconds.,Upper signal-change-rate proxy.,primary_behavior_candidate,Candidate behavioral feature after coverage and technical-confounding review; this is not a final selection.,Inspect skew and outliers; fit robust scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,174.20900061880593,381.0448077518832,17.07965950570582,11.591520361993588,69.28455388547003,57.693033523476444,5.389424285345728,1035.2417720456626,accelerometer_raw_row_count,0.4642857142857144,not_flagged,no
