source_table,feature_name,feature_family,short_description,selection_reason,privacy_note,selected_date,window_class,primary_model_recommendation,source_column,missing_percent,acquisition_window_class
significant,significant_motion_transition_count,significant_motion_variability,Count changes in consecutive valid is_moving states ordered by timestamp,Selected for significant-only adjusted delayed first-available analysis,May be zero if table logs only significant moving events,2026-07-13,adjusted_first_available_7d,adjusted_sensitivity,significant_motion_transition_count,100.0,t1_10day_first_available
significant,significant_moving_event_count,significant_motion_context,Count rows where is_moving indicates moving in the adjusted first-available 7-day window,Selected for significant-only adjusted delayed first-available analysis,Depends on AWARE significant-motion logic and phone carriage; not direct clinical activity,2026-07-13,adjusted_first_available_7d,adjusted_sensitivity,significant_moving_event_count,100.0,t1_10day_first_available
significant,significant_moving_fraction,significant_motion_context,Fraction of valid significant rows where is_moving indicates moving,Selected for significant-only adjusted delayed first-available analysis,May be uninformative if all rows are moving by design; delayed window only,2026-07-13,adjusted_first_available_7d,adjusted_sensitivity,significant_moving_fraction,100.0,t1_10day_first_available
applications_foreground,app_foreground_event_count,app_use_intensity,Number of foreground app events in a defined window,Selected for baseline phone/app engagement intensity,Uses aggregate counts only; no raw app content,2026-06-15,t1_week_first_valid_24h,include_primary,app_foreground_event_count,17.28,t1_10day_first_available
applications_foreground,app_use_diversity,app_use_breadth,Entropy or diversity of foreground app use across observed apps,Selected to capture concentration versus diversity of app use,Use aggregate diversity only; avoid raw app lists,2026-06-15,t1_week_first_valid_24h,include_primary,app_use_diversity,17.28,t1_10day_first_available
applications_foreground,unique_foreground_apps,app_use_breadth,Number of distinct foreground apps observed in a window,Selected for app-use breadth at T1 and change windows,Raw app names should not be exposed in clinical summaries,2026-06-15,t1_week_first_valid_24h,include_primary,unique_foreground_apps,17.28,t1_10day_first_available
battery,charging_or_plugged_event_count,battery_context,Count of battery rows indicating charging or plugged state,Selected as a charging-context and routine marker,Low privacy risk; requires documented value-code rule; missing is not zero,2026-06-15,t1_week_first_valid_24h,exclude_no_observed_data,charging_or_plugged_event_count,100.0,t1_10day_first_available
battery,low_battery_event_count,battery_context,Count of battery rows at or below 20 percent battery level,Selected as a device availability and charging-context marker,Low privacy risk; context feature only; missing is not zero,2026-06-15,t1_week_first_valid_24h,exclude_no_observed_data,low_battery_event_count,100.0,t1_10day_first_available
bluetooth,bluetooth_address_diversity_ratio,bluetooth_proximity_context,Ratio of unique Bluetooth addresses to all deduplicated Bluetooth address observations,Selected to capture Bluetooth address diversity in the observed stream,Uses aggregate ratio only; missing is not zero,2026-06-16,t1_week_first_valid_24h,coverage_sensitivity,bluetooth_address_diversity_ratio,98.77,t1_10day_first_available
bluetooth,unique_bluetooth_addresses,bluetooth_proximity_context,Number of distinct Bluetooth addresses observed after deduplication,Selected to capture breadth of nearby Bluetooth device observations,Uses bt_address as an identifier for counting; report aggregate count only,2026-06-16,t1_week_first_valid_24h,coverage_sensitivity,unique_bluetooth_addresses,98.77,t1_10day_first_available
calls,call_event_count,call_communication_context,Number of call-log rows in the selected 24-hour window,Selected as major call-log activity volume feature,Aggregate count only; missing is not zero,2026-06-21,t1_week_first_valid_24h,coverage_sensitivity,call_event_count,88.89,t1_10day_first_available
calls,incoming_call_count,call_direction_context,Count rows with call_type code 1 incoming,Selected as major incoming call context feature,Aggregate count only; call-log table is privacy-sensitive,2026-06-21,t1_week_first_valid_24h,coverage_sensitivity,incoming_call_count,88.89,t1_10day_first_available
calls,missed_rejected_blocked_call_count,call_unanswered_context,Count rows with call_type codes 3 missed 5 rejected or 6 blocked,Selected as major unanswered/interrupted call context feature,Grouped feature requires cautious interpretation; missing is not zero,2026-06-21,t1_week_first_valid_24h,coverage_sensitivity,missed_rejected_blocked_call_count,88.89,t1_10day_first_available
calls,outgoing_call_count,call_direction_context,Count rows with call_type code 2 outgoing,Selected as major outgoing call context feature,Aggregate count only; outgoing calls are not necessarily completed conversations,2026-06-21,t1_week_first_valid_24h,coverage_sensitivity,outgoing_call_count,88.89,t1_10day_first_available
calls,total_call_duration_seconds,call_duration_context,Sum of numeric call_duration values in seconds,Selected as major total call duration context feature,Duration does not prove meaningful conversation; aggregate only,2026-06-21,t1_week_first_valid_24h,coverage_sensitivity,total_call_duration_seconds,88.89,t1_10day_first_available
gsm,gsm_cell_transition_count,gsm_cell_context,Count changes in consecutive cid values ordered by timestamp,Selected as major cellular-context transition feature,Sensitive to tower handoff repeated rows and reception conditions,2026-06-21,t1_week_first_valid_24h,include_primary,gsm_cell_transition_count,12.35,t1_10day_first_available
gsm,unique_gsm_cell_count,gsm_cell_context,Number of distinct cid values in the selected window,Selected as major cellular-context breadth feature,Raw cell IDs can imply location context; aggregate only,2026-06-21,t1_week_first_valid_24h,include_primary,unique_gsm_cell_count,12.35,t1_10day_first_available
gsm,unique_gsm_lac_count,gsm_cell_context,Number of distinct lac values in the selected window,Selected as major location-area breadth feature,Coarse context feature; missing is not zero movement,2026-06-21,t1_week_first_valid_24h,include_primary,unique_gsm_lac_count,12.35,t1_10day_first_available
gsm_neighbor,gsm_neighbor_cell_transition_count,gsm_neighbor_cell_context,Count changes between consecutive valid neighbor cid values ordered by timestamp,Selected to capture neighboring cellular-context transitions,Sensitive to duplicate logging tower handoff and reception conditions,2026-07-12,t1_week_first_valid_24h,coverage_sensitivity,gsm_neighbor_cell_transition_count,46.91,t1_10day_first_available
gsm_neighbor,unique_gsm_neighbor_cell_count,gsm_neighbor_cell_context,Number of distinct valid neighbor cid values in the selected window,Selected to capture neighboring cellular identifier breadth,Raw cell IDs can imply location context; aggregate only,2026-07-12,t1_week_first_valid_24h,coverage_sensitivity,unique_gsm_neighbor_cell_count,46.91,t1_10day_first_available
gsm_neighbor,unique_gsm_neighbor_lac_count,gsm_neighbor_cell_context,Number of distinct valid neighbor lac values in the selected window,Selected to capture neighboring location-area breadth,Coarse cellular context only; missing is not no movement,2026-07-12,t1_week_first_valid_24h,coverage_sensitivity,unique_gsm_neighbor_lac_count,46.91,t1_10day_first_available
keyboard,keyboard_deletion_event_count,keyboard_correction_behavior,Count transitions where text length decreases,Selected to capture deletion/backspace-like correction behavior,Deletion is not direct error rate; aggregate only,2026-06-21,t1_week_first_valid_24h,include_primary,keyboard_deletion_event_count,29.63,t1_10day_first_available
keyboard,keyboard_inter_event_interval_iqr_ms,keyboard_typing_dynamics,IQR of milliseconds between consecutive deduplicated keyboard observations,Selected to capture variability of keyboard text-state rhythm,Raw text is used transiently only; duplicates and long idle gaps must be handled,2026-06-21,t1_week_first_valid_24h,include_primary,keyboard_inter_event_interval_iqr_ms,29.63,t1_10day_first_available
keyboard,keyboard_long_pause_count_2s,keyboard_typing_pause,Count gaps greater than 2 seconds between consecutive keyboard observations inside active typing,Selected to capture within-typing pause structure,Pauses are nonspecific and not diagnostic; aggregate only,2026-06-21,t1_week_first_valid_24h,include_primary,keyboard_long_pause_count_2s,29.63,t1_10day_first_available
keyboard,keyboard_median_inter_event_interval_ms,keyboard_typing_dynamics,Median milliseconds between consecutive deduplicated keyboard observations,Selected to capture keyboard text-state rhythm without saving raw text,Raw text is used transiently only; aggregate timing output only,2026-06-21,t1_week_first_valid_24h,include_primary,keyboard_median_inter_event_interval_ms,29.63,t1_10day_first_available
keyboard,keyboard_median_word_completion_time_ms,keyboard_word_timing,Infer word boundaries from space transitions and compute median word completion time,Selected to approximate word production timing,Raw text-state parsed transiently only; no words saved,2026-06-21,t1_week_first_valid_24h,coverage_sensitivity,keyboard_median_word_completion_time_ms,45.68,t1_10day_first_available
keyboard,keyboard_typing_burst_count,keyboard_typing_burst,Count typing bursts separated by gaps greater than 30 seconds,Selected to capture distinct keyboard activity episodes,Threshold-dependent exploratory feature; missing is not zero typing,2026-06-21,t1_week_first_valid_24h,include_primary,keyboard_typing_burst_count,29.63,t1_10day_first_available
locations,location_distinct_observation_count,location_data_coverage,Count distinct timestamp/location observations in the selected window,Selected as the basic usable location-observation count,Aggregate count only; missing is not no movement,2026-06-24,t1_week_first_valid_24h,coverage_sensitivity,location_distinct_observation_count,98.77,t1_10day_first_available
locations,location_total_distance_km,location_mobility_extent,Sum haversine distance between consecutive distinct valid coordinates,Selected as an approximate phone movement distance feature,Raw coordinates should not be model-facing; GPS jitter and phone carrying behavior can inflate distance,2026-06-24,t1_week_first_valid_24h,coverage_sensitivity,location_total_distance_km,98.77,t1_10day_first_available
messages,message_distinct_event_count,message_communication_context,Count distinct message observations after deduplication,Selected as the basic usable SMS/message-log activity count,Aggregate only; no raw message text phone numbers contacts or addresses,2026-06-25,t1_week_first_valid_24h,include_primary,message_distinct_event_count,28.4,t1_10day_first_available
messages,outgoing_message_count,message_communication_context,Count distinct observations where message_type is sent,Selected to capture outgoing message-log volume if type mapping is correct,Aggregate only; does not measure message content or social quality,2026-06-25,t1_week_first_valid_24h,include_primary,outgoing_message_count,28.4,t1_10day_first_available
plugin_google_activity_recognition,activity_active_hour_count,activity_context_temporal_spread,Count unique local hours with at least one activity-recognition event,Selected as feature 76 assumption to capture temporal spread of the activity-recognition stream,Data coverage support; missing is not no activity,2026-07-07,t1_week_first_valid_24h,include_primary,activity_active_hour_count,12.35,t1_10day_first_available
plugin_google_activity_recognition,activity_state_diversity,activity_context_breadth,Diversity of top activity labels in the selected window,Selected to capture breadth of observed phone-derived activity states,Aggregate only; depends on recognition model and sampling,2026-07-07,t1_week_first_valid_24h,include_primary,activity_state_diversity,12.35,t1_10day_first_available
plugin_google_activity_recognition,activity_still_fraction,activity_context_state,Fraction of top activity labels classified as still,Selected to capture relative still-labeled phone context within observed activity-recognition events,Still is not sleep inactivity or home presence; phone carrying behavior matters,2026-07-07,t1_week_first_valid_24h,include_primary,activity_still_fraction,12.35,t1_10day_first_available
plugin_google_activity_recognition,activity_transition_count,activity_context_variability,Count changes between consecutive top activity labels ordered by timestamp,Selected to capture variability in phone-derived activity context,Transitions can reflect sampling artifacts label noise and phone carrying behavior,2026-07-07,t1_week_first_valid_24h,include_primary,activity_transition_count,12.35,t1_10day_first_available
plugin_google_activity_recognition,activity_unknown_fraction,activity_context_quality,Fraction of top activity labels classified as unknown,Selected to capture recognition uncertainty in the observed window,Unknown reflects sensor algorithm uncertainty not behavior,2026-07-07,t1_week_first_valid_24h,include_primary,activity_unknown_fraction,12.35,t1_10day_first_available
screen,median_unlocked_session_duration_seconds,screen_session_duration,Median paired unlocked-session duration,Selected to capture typical unlocked-session length,Sensitive to missing lock or off events and repeated status rows,2026-07-12,t1_week_first_valid_24h,include_primary,median_unlocked_session_duration_seconds,13.58,t1_10day_first_available
screen,night_screen_event_count,screen_nighttime_context,Count screen events during local nighttime hours 22:00-06:00,Selected to capture nighttime phone screen-state context,Night screen activity is not sleep disturbance by itself,2026-07-12,t1_week_first_valid_24h,include_primary,night_screen_event_count,11.11,t1_10day_first_available
screen,screen_active_hour_count,screen_temporal_spread,Count unique local hours with at least one screen event,Selected to capture temporal spread of screen activity,Sparse logging can make this unstable; missing is not no use,2026-07-12,t1_week_first_valid_24h,include_primary,screen_active_hour_count,11.11,t1_10day_first_available
screen,screen_event_count,screen_interaction_context,Count all screen rows in the selected window,Selected as basic screen-state event volume feature,Event count is not screen time and repeated transitions can inflate count,2026-07-12,t1_week_first_valid_24h,include_primary,screen_event_count,11.11,t1_10day_first_available
screen,screen_off_event_count,screen_interaction_context,Count rows where screen_status equals 0,Selected as approximate screen-off transition count,Mostly useful together with on and unlock transitions,2026-07-12,t1_week_first_valid_24h,include_primary,screen_off_event_count,11.11,t1_10day_first_available
screen,screen_on_event_count,screen_interaction_context,Count rows where screen_status equals 1,Selected as approximate screen-on activation count,Screen-on events can occur without meaningful interaction,2026-07-12,t1_week_first_valid_24h,include_primary,screen_on_event_count,11.11,t1_10day_first_available
screen,screen_transition_count,screen_interaction_variability,Count changes between consecutive screen_status values ordered by timestamp,Selected to capture screen-state switching intensity,Can reflect OS logging behavior as well as use behavior,2026-07-12,t1_week_first_valid_24h,include_primary,screen_transition_count,11.11,t1_10day_first_available
screen,screen_unlock_event_count,screen_interaction_context,Count rows where screen_status equals 3,Selected as approximate unlock-event count,Unlocks are phone access opportunities not direct task engagement,2026-07-12,t1_week_first_valid_24h,include_primary,screen_unlock_event_count,11.11,t1_10day_first_available
telephony,telephony_event_count,telephony_connectivity_context,Count all telephony rows in the selected window,Selected as basic telephony-state logging volume feature,Connectivity context only; not phone use by itself,2026-07-12,t1_week_first_valid_24h,include_primary,telephony_event_count,12.35,t1_10day_first_available
telephony,telephony_mobile_data_enabled_fraction,telephony_connectivity_context,Fraction of rows with data_enabled indicating enabled/on state,Selected to capture mobile-data availability/connectivity context,Coding of data_enabled must remain documented; not actual internet use,2026-07-12,t1_week_first_valid_24h,include_primary,telephony_mobile_data_enabled_fraction,12.35,t1_10day_first_available
telephony,telephony_network_type_diversity,telephony_network_context,Diversity across observed network_type values,Selected to capture variation in cellular network mode,Depends on Android code mapping and device reporting; aggregate only,2026-07-12,t1_week_first_valid_24h,include_primary,telephony_network_type_diversity,12.35,t1_10day_first_available
touch,touch_active_hour_count,touch_temporal_spread,Count unique local hours with at least one distinct touch observation,Selected to capture temporal spread of touch interaction,Data coverage and use timing support only,2026-07-12,t1_week_first_valid_24h,include_primary,touch_active_hour_count,19.75,t1_10day_first_available
touch,touch_app_diversity,touch_app_context,Diversity of touch events across touch_app values,Selected to capture concentration versus breadth of touch interaction by app,Depends on package naming and system UI logging,2026-07-12,t1_week_first_valid_24h,include_primary,touch_app_diversity,19.75,t1_10day_first_available
touch,touch_click_event_count,touch_action_profile,Count distinct observations where touch_action is ACTION_AWARE_TOUCH_CLICKED,Selected to capture tap/click-like interaction events,Click labels are app accessibility events not exact finger taps,2026-07-12,t1_week_first_valid_24h,include_primary,touch_click_event_count,19.75,t1_10day_first_available
touch,touch_distinct_event_count,touch_interaction_volume,Count distinct touch observations after deduplicating repeated timestamp app action and scroll rows,Selected to capture touchscreen interaction volume beyond screen state,Event count is not exact taps because logging duplicates and OS events may occur,2026-07-12,t1_week_first_valid_24h,include_primary,touch_distinct_event_count,19.75,t1_10day_first_available
touch,touch_scroll_direction_change_count,touch_interaction_variability,Count changes between consecutive scroll directions up and down after deduplication,Selected to capture interaction variability during scrolling,Sensitive to duplicate handling and app layout,2026-07-12,t1_week_first_valid_24h,include_primary,touch_scroll_direction_change_count,22.22,t1_10day_first_available
touch,touch_scroll_event_count,touch_action_profile,Count distinct observations where touch_action contains SCROLLED,Selected to capture scroll-like interaction events,Scroll events depend on app UI and logging behavior,2026-07-12,t1_week_first_valid_24h,include_primary,touch_scroll_event_count,19.75,t1_10day_first_available
touch,touch_scroll_index_change_median,touch_scroll_intensity,Median absolute difference between scroll_to_index and scroll_from_index for valid scroll rows,Selected to capture approximate scroll movement size where indexes are meaningful,Index values are app dependent and may not represent physical distance,2026-07-12,t1_week_first_valid_24h,include_primary,touch_scroll_index_change_median,22.22,t1_10day_first_available
touch,touch_unique_app_count,touch_app_context,Count distinct touch_app values in the selected window,Selected to capture breadth of apps with touch interaction,Package names should remain aggregate and not be exposed as raw model features,2026-07-12,t1_week_first_valid_24h,include_primary,touch_unique_app_count,19.75,t1_10day_first_available
