table_name,json_key,inferred_value_type,example_values_compact,n_distinct_example_values,likely_meaning,safe_for_feature_extraction,features_supported,interpretation_warning
gsm,device_id,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
gsm,lac,string,"""923"" | ""65535""",2,Cell/tower context fields,yes,context diversity and stability proxies,Network infrastructure confounding likely.
gsm,psc,string,"""0""",1,Cell/tower context fields,yes,context diversity and stability proxies,Network infrastructure confounding likely.
gsm,signal_strength,string,"""99""",1,Cell/tower context fields,yes,context diversity and stability proxies,Network infrastructure confounding likely.
gsm,timestamp,number,1743325074184 | 1743325074254 | 1743325075029 | 1743325078699 | 1743325078756 | 1743325105236 | 1743325134624 | 1743325143911 | 1743325243777,9,Event timestamp,yes,"event count, active days",None
gsm_neighbor,cid,string,"""-1""",1,Cell/tower context fields,yes,context diversity and stability proxies,Network infrastructure confounding likely.
gsm_neighbor,device_id,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
gsm_neighbor,lac,string,"""-1""",1,Cell/tower context fields,yes,context diversity and stability proxies,Network infrastructure confounding likely.
gsm_neighbor,psc,string,"""233"" | ""274"" | ""275"" | ""234"" | ""70""",5,Cell/tower context fields,yes,context diversity and stability proxies,Network infrastructure confounding likely.
gsm_neighbor,signal_strength,string,"""2"" | ""0"" | ""1"" | ""8"" | ""7"" | ""3""",6,Cell/tower context fields,yes,context diversity and stability proxies,Network infrastructure confounding likely.
gsm_neighbor,timestamp,number,1743325243777 | 1743326254249,2,Event timestamp,yes,"event count, active days",None
keyboard,before_text,string,"""""",0,Raw typed text content,manual_review,none in phase-1 due privacy/interpretability,Privacy-sensitive; avoid direct use.
keyboard,current_text,string,"""[a]""",1,Raw typed text content,manual_review,none in phase-1 due privacy/interpretability,Privacy-sensitive; avoid direct use.
keyboard,device_id,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
keyboard,is_password,string,"""0""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
keyboard,package_name,string,"""com.android.settings""",1,App package during typing,yes,typing context breadth,Do not use raw text content fields as phenotype.
keyboard,timestamp,number,1743325161331,1,Event timestamp,yes,"event count, active days",None
messages,device_id,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
messages,message_type,string,"""1""",1,Message type/direction code,yes,incoming/outgoing split if mapping known,Need mapping for code semantics before interpretation.
messages,timestamp,number,1743326859147 | 1745140398223 | 1746943626661 | 1747545326541,4,Event timestamp,yes,"event count, active days",Sparse in current PoC.
messages,trace,string,"""09f4d3fa2ec3e109e9806a3a32b196038336603c"" | ""5a49662cb89f53be3dfa6eb9763dcfc9532b2b02"" | ""4d2dffaa6e4803fadfc3d0439abc898838340572"" | ""fab9fa5af6726f4fbc7c7dbc87a28acfc40a63e9""",4,Trace/hash identifier,manual_review,de-duplication only,Not directly interpretable behavior.
plugin_google_activity_recognition,activities,string,"""[{\""activity\"":\""unknown\"",\""confidence\"":40},{\""activity\"":\""in_vehicle\"",\""confidence\"":10},{\""activity\"":\""on_bicycle\"",\""confidence\"":10},{\""activity\"":\""on_foot\"",\""confidence\"":10},{\""activity\"":\""walking\"",\""confidence\"":10},{\""activity\"":\""running\"",\""confidence\"":10},{\""activity\"":\""still\"",\""confidence\"":10}]"" | ""[{\""activity\"":\""tilting\"",\""confidence\"":100}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":96},{\""activity\"":\""unknown\"",\""confidence\"":2},{\""activity\"":\""in_vehicle\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":99},{\""activity\"":\""unknown\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":100}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":28},{\""activity\"":\""on_foot\"",\""confidence\"":22},{\""activity\"":\""walking\"",\""confidence\"":22},{\""activity\"":\""in_vehicle\"",\""confidence\"":19},{\""activity\"":\""on_bicycle\"",\""confidence\"":13},{\""activity\"":\""unknown\"",\""confidence\"":2}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":96},{\""activity\"":\""in_vehicle\"",\""confidence\"":2},{\""activity\"":\""on_foot\"",\""confidence\"":1},{\""activity\"":\""walking\"",\""confidence\"":1},{\""activity\"":\""unknown\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":97},{\""activity\"":\""unknown\"",\""confidence\"":2},{\""activity\"":\""in_vehicle\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":98},{\""activity\"":\""in_vehicle\"",\""confidence\"":1},{\""activity\"":\""unknown\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":97},{\""activity\"":\""in_vehicle\"",\""confidence\"":1},{\""activity\"":\""on_foot\"",\""confidence\"":1},{\""activity\"":\""walking\"",\""confidence\"":1},{\""activity\"":\""unknown\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":51},{\""activity\"":\""on_foot\"",\""confidence\"":27},{\""activity\"":\""walking\"",\""confidence\"":27},{\""activity\"":\""in_vehicle\"",\""confidence\"":9},{\""activity\"":\""on_bicycle\"",\""confidence\"":5},{\""activity\"":\""running\"",\""confidence\"":1},{\""activity\"":\""unknown\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":53},{\""activity\"":\""in_vehicle\"",\""confidence\"":16},{\""activity\"":\""on_foot\"",\""confidence\"":12},{\""activity\"":\""walking\"",\""confidence\"":12},{\""activity\"":\""unknown\"",\""confidence\"":3},{\""activity\"":\""on_bicycle\"",\""confidence\"":2}]"" | ""[{\""activity\"":\""on_foot\"",\""confidence\"":88},{\""activity\"":\""walking\"",\""confidence\"":88},{\""activity\"":\""on_bicycle\"",\""confidence\"":3},{\""activity\"":\""in_vehicle\"",\""confidence\"":2},{\""activity\"":\""running\"",\""confidence\"":2},{\""activity\"":\""still\"",\""confidence\"":2},{\""activity\"":\""unknown\"",\""confidence\"":2}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":96},{\""activity\"":\""in_vehicle\"",\""confidence\"":2},{\""activity\"":\""unknown\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":98},{\""activity\"":\""unknown\"",\""confidence\"":2}]""",15,Recognized activity label/code,yes,"still/walking/in_vehicle counts, activity diversity",Classifier-derived; device/model dependent confidence.
plugin_google_activity_recognition,activity_name,string,"""unknown"" | ""tilting"" | ""still"" | ""on_foot""",4,Recognized activity label/code,yes,"still/walking/in_vehicle counts, activity diversity",Classifier-derived; device/model dependent confidence.
plugin_google_activity_recognition,activity_type,string,"""4"" | ""5"" | ""3"" | ""2""",4,Recognized activity label/code,yes,"still/walking/in_vehicle counts, activity diversity",Classifier-derived; device/model dependent confidence.
plugin_google_activity_recognition,confidence,string,"""40"" | ""100"" | ""96"" | ""99"" | ""28"" | ""97"" | ""98"" | ""51"" | ""53"" | ""88""",10,Recognition confidence,yes,confidence-weighted metrics / filtering,Scale and reliability may vary by OS/version.
plugin_google_activity_recognition,device_id,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
plugin_google_activity_recognition,timestamp,number,1743325121630 | 1743325189249 | 1743325189276 | 1743325241718 | 1743325309337 | 1743325376952 | 1743325444539 | 1743326352964 | 1743326364962 | 1743328122131 | 1743329272043 | 1743329333806 | 1743329393829 | 1743329453906 | 1743329513951 | 1743329574013 | 1743329625481 | 1743329686835 | 1743329686866 | 1743329746906,20,Event timestamp,yes,"event count, active days",None
screen,device_id,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",1,Device identifier,yes,episode aggregation only,Not a behavior signal.
screen,screen_status,string,"""1"" | ""3"" | ""0"" | ""2""",4,Screen status/state code,yes,state-aware screen event features; possible on/off state counts,Numeric codes require mapping validation before semantic labels.
screen,timestamp,number,1743325072931 | 1743325072941 | 1743325243273 | 1743325243279 | 1743325258001 | 1743325258010 | 1743326233607 | 1743326233922 | 1743326245035,9,Event timestamp,yes,"event count, active days, night events",None
telephony,data_enabled,string,"""2""",1,Telephony/network state,yes,context/state stability metrics,"Contextual, not direct behavior."
telephony,device_id,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
telephony,imei_meid_esn,string,"""""",0,Identifier/PII-like field,manual_review,none for phenotype,Avoid using as feature.
telephony,line_number,string,"""2876cded74c58537176f252dce8ad1b50c1cfb5c""",1,Identifier/PII-like field,manual_review,none for phenotype,Avoid using as feature.
telephony,network_country_iso_mcc,string,"""il""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
telephony,network_operator_code,string,"""42502""",1,Telephony/network state,yes,context/state stability metrics,"Contextual, not direct behavior."
telephony,network_operator_name,string,"""Cellcom IL""",1,Telephony/network state,yes,context/state stability metrics,"Contextual, not direct behavior."
telephony,network_type,string,"""13""",1,Telephony/network state,yes,context/state stability metrics,"Contextual, not direct behavior."
telephony,phone_type,string,"""1""",1,Telephony/network state,yes,context/state stability metrics,"Contextual, not direct behavior."
telephony,sim_operator_code,string,"""42502""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
telephony,sim_operator_name,string,"""Cellcom""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
telephony,sim_serial,string,"""""",0,Identifier/PII-like field,manual_review,none for phenotype,Avoid using as feature.
telephony,sim_state,string,"""5""",1,Telephony/network state,yes,context/state stability metrics,"Contextual, not direct behavior."
telephony,software_version,string,"""00""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
telephony,subscriber_id,string,"""""",0,Identifier/PII-like field,manual_review,none for phenotype,Avoid using as feature.
telephony,timestamp,number,1743325074200 | 1743325074260 | 1743325075030 | 1743325078711 | 1743325078758 | 1743325105306 | 1743325134652 | 1743325143924 | 1743325243795,9,Event timestamp,yes,"event count, active days",None
touch,device_id,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
touch,scroll_from_index,string,"""-1""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
touch,scroll_items,string,"""-1""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
touch,scroll_to_index,string,"""-1""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
touch,timestamp,number,1743325078530,1,Event timestamp,yes,"event count, active days",None
touch,touch_action,string,"""ACTION_AWARE_TOUCH_CLICKED""",1,Touch action/app context,yes,action-type mix,App/UI implementation differences.
touch,touch_action_text,string,"""[]""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
touch,touch_app,string,"""com.miui.securitycenter""",1,Touch action/app context,yes,action-type mix,App/UI implementation differences.
