feature_name,source_table,phase1_role,required_json_keys,window_level,aggregation_logic_plain_english,expected_unit,behavioral_interpretation,higher_value_means,minimum_required_rows,minimum_required_days,missing_data_interpretation,quality_flag_needed,extraction_priority,extraction_status
gsm_event_count,gsm,optional_context,timestamp,early_and_late,Count events.,count,Cellular context sampling intensity.,more observed events,20,2,Sparse events limit interpretation.,aware_log_coverage_flag,medium,planned
gsm_active_days,gsm,optional_context,timestamp,early_and_late,Count active days.,days,Days with cellular context observations.,more active days,20,2,Missing not equal no mobility.,aware_log_coverage_flag,medium,planned
gsm_cellular_context_diversity,gsm,optional_context,cid/lac/psc if present,early_and_late,Count/entropy of unique cell identifiers.,index,Potential movement/context diversity proxy.,higher context diversity,30,2,Heavily network-dependent.,aware_log_coverage_flag,low,planned
gsm_neighbor_event_count,gsm_neighbor,optional_context,timestamp,early_and_late,Count events.,count,Cellular context sampling intensity.,more observed events,20,2,Sparse events limit interpretation.,aware_log_coverage_flag,medium,planned
gsm_neighbor_active_days,gsm_neighbor,optional_context,timestamp,early_and_late,Count active days.,days,Days with cellular context observations.,more active days,20,2,Missing not equal no mobility.,aware_log_coverage_flag,medium,planned
gsm_neighbor_cellular_context_diversity,gsm_neighbor,optional_context,cid/lac/psc if present,early_and_late,Count/entropy of unique cell identifiers.,index,Potential movement/context diversity proxy.,higher context diversity,30,2,Heavily network-dependent.,aware_log_coverage_flag,low,planned
telephony_event_count,telephony,optional_context,timestamp,early_and_late,Count telephony state rows.,count,Availability of telephony context observations.,more observed state events,20,2,Not direct activity measure.,aware_log_coverage_flag,medium,planned
active_social_days,telephony,optional_context,timestamp,early_and_late,Count distinct days with telephony/message context events.,days,Potential communication context regularity.,more context days,20,2,Use jointly with messages/calls.,aware_log_coverage_flag,medium,planned
message_event_count,messages,optional_context,timestamp,early_and_late,Count message events.,count,Message-related communication activity.,more messaging activity,10,2,Sparse data may be unstable.,aware_log_coverage_flag,low,planned
active_social_days,messages,optional_context,timestamp,early_and_late,Count distinct days with message events.,days,Communication-activity days.,more social-active days,10,2,Missing rows not equal social inactivity.,aware_log_coverage_flag,low,planned
aware_log_rows,aware_log,data_quality_denominator,timestamp,early_and_late,Count aware_log rows.,count,Logging/system activity density.,higher logging density,20,2,Does not imply patient behavior.,none,high,planned
aware_log_active_days,aware_log,data_quality_denominator,timestamp,early_and_late,Count days with aware_log rows.,days,Observed logging coverage days.,more coverage days,20,2,Coverage proxy only.,none,high,planned
data_logging_coverage_days,aware_log,data_quality_denominator,timestamp,early_and_late,Distinct days with any logging markers.,days,Denominator for feature reliability checks.,better observability,20,2,Not a behavioral construct.,none,high,planned
system_log_density,aware_log,data_quality_denominator,timestamp,early_and_late,aware_log_rows per active day.,rows/day,Operational logging intensity.,more system logging,20,2,Use only to qualify other features.,none,high,planned
